Hotel,Is_Canceled,Lead_Time,Arrival_Date_Year,Arrival_Date_Month,Arrival_Date_Week_Number,Arrival_Date_Day_of_Month,Stays_in_Weekend_Nights,Stays_in_Week_Nights,Adults,Children,Babies,Meal,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings_not_Canceled,Reserved_Room_Type,Assigned_Room_Type,Booking_Changes,Deposit_Type,Agent,Company,Days_in_Waiting_List,Customer_Type,ADR,Is Outlier?,Reservation_Status,Required_Car_Parking_Spaces,Total_of_Special_Requests,Reservation_Status_Date
Resort Hotel,0,109,2016,January,1,1,0,1,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient-Party,59.94,Non Outlier,Check-Out,0,1,2016-01-01
Resort Hotel,0,109,2016,January,1,1,0,1,2,2,0,BB,RUS,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient-Party,116.10,Non Outlier,Check-Out,1,1,2016-01-02
Resort Hotel,0,0,2016,January,1,1,0,1,2,0,0,BB,PRT,Direct,Direct,1,0,1,A,D,0,No Deposit,NULL,NULL,0,Transient,50.00,Non Outlier,Check-Out,1,0,2016-01-02
Resort Hotel,0,0,2016,January,1,1,0,1,2,3,0,BB,PRT,Direct,Direct,0,0,0,A,G,2,No Deposit,NULL,NULL,0,Transient,124.00,Non Outlier,Check-Out,0,0,2016-01-02
Resort Hotel,0,88,2016,January,1,1,0,2,2,0,0,HB,ARG,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,73.46,Non Outlier,Check-Out,0,2,2016-01-02
Resort Hotel,0,88,2016,January,1,1,0,2,2,1,0,HB,ARG,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,90.17,Non Outlier,Check-Out,0,2,2016-01-03
Resort Hotel,0,1,2016,January,1,1,0,2,2,0,0,BB,NULL,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient,67.00,Non Outlier,Check-Out,0,0,2016-01-03
Resort Hotel,0,2,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48.00,Non Outlier,Check-Out,0,1,2016-01-03
Resort Hotel,0,8,2016,January,1,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,62.00,Non Outlier,Check-Out,1,2,2016-01-03
Resort Hotel,0,3,2016,January,1,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56.00,Non Outlier,Check-Out,0,1,2016-01-03
